,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
325,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,GENETIC,200.0,,10.0,0.1,,,1744.7800999999995,12.828113337058625,0,0,137.64239311218262,436.1950249999999,10
326,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,ANNEALING,3000.0,1e-05,,,,,1812.9713000000004,6.9261044474246765,0,0,90.6366012096405,453.2428250000001,15
327,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,3000.0,0.0001,,,,,1842.0845999999997,4.953880002235173,0,0,134.93960809707642,460.5211499999999,20
328,SIMPLE_GREEDY,ANY_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1745.1173999999996,12.81444222594751,0,0,244.67910885810852,436.2793499999999,10
329,SIMPLE_GREEDY,ANY_EXPORTATION,TABU,200.0,,,,0.5,,1792.0721000000003,6.891306669646899,0,0,65.88571119308472,448.0180250000001,15
330,SIMPLE_GREEDY,ANY_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1787.5101,6.704075558535787,0,0,352.55036520957947,446.877525,15
331,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1736.8777999999998,12.840642225947512,0,0,233.31844019889832,434.21944999999994,10
332,SIMPLE_GREEDY,ANY_MOVE_EXPORTATION,TABU,500.0,,,,0.3,,1731.9897999999998,12.615071114836397,0,0,110.45205593109131,432.99744999999996,10
333,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,200.0,,20.0,0.1,,,1740.1495999999997,12.861811114836398,0,0,337.39978289604187,435.03739999999993,10
334,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,200.0,,10.0,0.3,,,1737.7365999999997,12.842117781503067,0,0,138.82670497894287,434.43414999999993,10
335,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,ANNEALING,5000.0,0.0001,,,,,1779.3272000000002,13.230853337058623,0,0,187.50112009048462,444.83180000000004,10
