FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2065,loc1180,1180,Eemskanaal Zuidzijde,769,huisvuil - loc1180,53.2169,6.5808,POINT (234731.403 581800.641)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2064,loc1181,1181,Sontweg West,770,huisvuil - loc1181,53.2162,6.5824,POINT (234840.865 581726.765)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2063,loc1181,1181,Sontweg West,771,huisvuil - loc1181,53.2162,6.5824,POINT (234840.865 581726.765)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2062,loc1182,1182,Sontweg Midden,772,huisvuil - loc1182,53.2167,6.5839,POINT (234938.073 581787.373)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2061,loc1183,1183,Sontweg to de Kaai,1183,huisvuil - loc1183,53.2171,6.5851,POINT (235014.85 581830.947)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2060,loc1184,1184,Sontweg (to huisnr. 144),1114,huisvuil - loc1184,53.2177,6.5863,POINT (235094.576 581897.946)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205f,loc1190,1190,Veemarktstraat,217,huisvuil - loc1190,53.215,6.5777,POINT (234523.199 581583.481)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205e,loc1191,1191,Duikerstraat,218,huisvuil - loc1191,53.214,6.5789,POINT (234607.759 581480.247)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205d,loc1193,1193,Palmslag,220,huisvuil - loc1193,53.2131,6.5768,POINT (234470.51 581375.574)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205c,loc1194,1194,Dijkstraat Oost,221,huisvuil - loc1194,53.2134,6.5801,POINT (234689.078 581411.467)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205b,loc1195,1195,Polderstraat West,222,huisvuil - loc1195,53.2124,6.575,POINT (234353.615 581292.389)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-205a,loc1196,1196,Middenstraat,223,huisvuil - loc1196,53.2123,6.577,POINT (234481.37 581284.479)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2059,loc1196,1196,Middenstraat,224,huisvuil - loc1196,53.2123,6.577,POINT (234481.37 581284.479)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2058,loc1197,1197,Polderstraat oost,225,huisvuil - loc1197,53.2127,6.5784,POINT (234576.845 581329.467)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2057,loc1198,1198,Dijkstraat West,226,huisvuil - loc1198,53.2128,6.5788,POINT (234606.629 581346.656)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2056,loc1199,1199,Annastraat Oost,227,huisvuil - loc1199,53.2126,6.58,POINT (234686.453 581327.941)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2055,loc1200,1200,Parklaan,228,huisvuil - loc1200,53.212,6.5719,POINT (234145.838 581250.01)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2054,loc1201,1201,Annastraat West,229,huisvuil - loc1201,53.2121,6.5789,POINT (234608.679 581263.208)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2053,loc1202,1202,Nieuwstraat Noord,230,huisvuil - loc1202,53.2119,6.5806,POINT (234726.544 581247.349)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2052,loc1202,1202,Nieuwstraat Noord,231,huisvuil - loc1202,53.2119,6.5806,POINT (234726.544 581247.349)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2051,loc1203,1203,Van Julsinghastraat Oost,232,huisvuil - loc1203,53.2122,6.5811,POINT (234759.465 581276.835)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2050,loc1204,1204,Mauritsstraat Noord,233,huisvuil - loc1204,53.2113,6.5744,POINT (234312.863 581170.39)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-204f,loc1204,1204,Mauritsstraat Noord,234,huisvuil - loc1204,53.2113,6.5744,POINT (234312.863 581170.39)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-204e,loc1205,1205,Oosterweg Noord,235,huisvuil - loc1205,53.2111,6.5759,POINT (234410.057 581151.956)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-204d,loc1206,1206,Warmoesstraat,236,huisvuil - loc1206,53.2115,6.5785,POINT (234587.628 581202.752)
